Year,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"India
Global Rank",Population
2050,0.23,3711367,,38.1,2.24,551,53.5,876613025,16.84,9735033990,1,1639176033
2045,0.35,5585537,-414772,36.6,2.24,545,50.1,811749463,17.09,9481803274,1,1620619200
2040,0.5,7793541,-415736,35.0,2.24,536,46.7,744380367,17.31,9198847240,1,1592691513
2035,0.66,10016298,-415732,33.3,2.24,523,43.5,675456367,17.48,8887524213,1,1553723810
2030,0.8,11726140,-440124,31.7,2.24,506,40.4,607341981,17.59,8548487400,1,1503642322
2025,0.92,13001447,-464081,30.0,2.24,486,37.6,542742539,17.66,8184437460,2,1445011620
2020,1.04,13970396,-532687,28.4,2.24,464,35,483098640,17.7,7794798739,2,1380004385
2019,1.02,13775474,-532687,27.1,2.36,460,34.5,471828295,17.71,7713468100,2,1366417754
2018,1.04,13965495,-532687,27.1,2.36,455,34.1,460779764,17.73,7631091040,2,1352642280
2017,1.07,14159536,-532687,27.1,2.36,450,33.6,449963381,17.74,7547858925,2,1338676785
2016,1.1,14364846,-532687,27.1,2.36,445,33.2,439391699,17.75,7464022049,2,1324517249
2015,1.2,15174247,-470015,26.8,2.40,441,32.7,429069459,17.75,7379797139,2,1310152403
2010,1.47,17334249,-531169,25.1,2.80,415,30.8,380744554,17.74,6956823603,2,1234281170
2005,1.67,18206876,-377797,23.8,3.14,386,29.1,334479406,17.54,6541907027,2,1147609927
2000,1.85,18530592,-136514,22.7,3.48,355,27.6,291350282,17.2,6143493823,2,1056575549
1995,1.99,18128958,-110590,21.8,3.83,324,26.5,255558824,16.78,5744212979,2,963922588
1990,2.17,17783558,9030,21.1,4.27,294,25.5,222296728,16.39,5327231061,2,873277798
1985,2.33,17081433,115942,20.6,4.68,264,24.3,190321782,16.1,4870921740,2,784360008
1980,2.32,15169989,222247,20.2,4.97,235,23,160941941,15.68,4458003514,2,698952844
1975,2.33,13582621,421208,19.7,5.41,210,21.3,132533810,15.27,4079480606,2,623102897
1970,2.15,11213294,-68569,19.3,5.72,187,19.7,109388950,15,3700437046,2,555189792
1965,2.07,9715129,-17078,19.6,5.89,168,18.7,93493844,14.95,3339583597,2,499123324
1960,1.91,8133417,-30805,20.2,5.90,152,17.9,80565723,14.85,3034949748,2,450547679
1955,1.72,6711079,-21140,20.7,5.90,138,17.6,71958495,14.78,"2,77,30,19,936",2,409880595
